budget,id,original_language,popularity,release_date,revenue,runtime,tagline,title,Action,Comedy,Drama,Thriller,Fantasy,Walt Disney Pictures,Universal Pictures,Warner Bros.,Columbia Pictures,Paramount Pictures,Relativity Media,Twentieth Century Fox Film Corporation,New Line Cinema
28000000,87,en,66.976776,1984-05-23,333e6,118,If adventure has a name... it must be Indiana Jones.,Indiana Jones and the Temple of Doom,1,0,0,0,0,0,0,0,0,1,0,0,0
48000000,89,en,80.972475,1989-05-24,474171806,127,"The man with the hat is back. And this time, he's bringing his Dad.",Indiana Jones and the Last Crusade,1,0,0,0,0,0,0,0,0,1,0,0,0
1350000,100,en,16.032594,1998-03-05,3897569,105,A Disgrace to Criminals Everywhere.,"Lock, Stock and Two Smoking Barrels",0,1,0,0,0,0,0,0,0,0,0,0,0
19000000,105,en,76.603233,1985-07-03,381109762,116,He's the only kid ever to get into trouble before he was born.,Back to the Future,0,1,0,0,0,0,1,0,0,0,0,0,0
15000000,115,en,49.230089,1998-03-06,46189568,117,Times like these call for a Big Lebowski.,The Big Lebowski,0,1,0,0,0,0,0,0,0,0,0,0,0
150000000,118,en,53.905592,2005-07-13,474968763,115,Willy Wonka is semi-sweet and nuts.,Charlie and the Chocolate Factory,0,1,0,0,1,0,0,1,0,0,0,0,0
93000000,120,en,138.049577,2001-12-18,871368364,178,One ring to rule them all,The Lord of the Rings: The Fellowship of the Ring,1,0,0,0,1,0,0,0,0,0,0,0,1
79000000,121,en,106.914973,2002-12-18,926287400,179,A New Power Is Rising.,The Lord of the Rings: The Two Towers,1,0,0,0,1,0,0,0,0,0,0,0,1
94000000,122,en,123.630332,2003-12-01,1118888979,201,The eye of the enemy is moving.,The Lord of the Rings: The Return of the King,1,0,0,0,1,0,0,0,0,0,0,0,1
15000000,129,ja,118.968562,2001-07-20,274925095,125,The tunnel led Chihiro to a mysterious town...,Spirited Away,0,0,0,0,1,0,0,0,0,0,0,0,0
14000000,142,en,44.135568,2005-09-02,178043761,134,Love is a force of nature.,Brokeback Mountain,0,0,1,0,0,0,0,0,0,0,0,0,0
8000000,149,ja,39.338097,1988-07-16,553171,124,Neo-Tokyo is about to E.X.P.L.O.D.E.,Akira,0,0,0,0,0,0,0,0,0,0,0,0,0
185000000,155,en,187.322927,2008-07-16,1004558444,152,Why So Serious?,The Dark Knight,1,0,1,1,0,0,0,1,0,0,0,0,0
85000000,161,en,60.929352,2001-12-07,450717150,116,Are you in or out?,Ocean's Eleven,0,0,0,1,0,0,0,1,0,0,0,0,0
110000000,163,en,76.840712,2004-12-09,362744280,125,Twelve is the new eleven.,Ocean's Twelve,0,0,0,1,0,0,0,1,0,0,0,0,0
40000000,165,en,43.345252,1989-11-20,332e6,108,"Roads? Where we're going, we don't need roads!",Back to the Future Part II,0,1,0,0,0,0,1,0,0,0,0,0,0
48000000,167,en,30.920075,2001-10-22,50315140,120,Change the way you look at the world.,K-PAX,0,0,1,0,0,0,0,0,0,0,0,0,0
80000000,179,en,18.69984,2005-04-08,162944923,128,The truth needs no translation.,The Interpreter,0,0,0,1,0,0,1,0,0,0,0,0,0
32000000,182,en,5.347936,2006-12-08,5914908,108,"If war is Hell, then what comes after?",The Good German,0,0,1,1,0,0,0,1,0,0,0,0,0
40000000,187,en,66.003433,2005-04-01,158733820,124,Walk down the right back alley in Sin City and you can find anything...,Sin City,1,0,0,1,0,0,0,0,0,0,0,0,0
65000000,189,en,85.428395,2014-08-20,39407616,102,There is no justice without sin.,Sin City: A Dame to Kill For,0,0,0,1,0,0,0,0,0,0,0,0,0
10000000,194,fr,73.720244,2001-04-25,173921954,122,One person can change your life forever.,Amélie,0,1,0,0,0,0,0,0,0,0,0,0,0
40000000,196,en,45.769562,1990-05-25,244527583,118,They've saved the best trip for last... But this time they may have gone too far.,Back to the Future Part III,0,1,0,0,0,0,1,0,0,0,0,0,0
46000000,199,en,25.6713,1996-11-21,15e7,111,Resistance is futile.,Star Trek: First Contact,1,0,0,1,0,0,0,0,0,1,0,0,0
17500000,205,en,28.60542,2004-09-11,38e6,121,"When the world closed its eyes, he opened his arms.",Hotel Rwanda,0,0,1,0,0,0,0,0,0,0,0,0,0
185000000,217,en,75.674458,2008-05-21,786636033,122,The adventure continues . . .,Indiana Jones and the Kingdom of the Crystal Skull,1,0,0,0,0,0,0,0,0,1,0,0,0
6400000,218,en,74.234793,1984-10-26,78371200,108,Your future is in his hands.,The Terminator,1,0,0,1,0,0,0,0,0,0,0,0,0
12899867,219,es,19.747809,2006-03-16,85582407,121,Return.,Volver,0,1,1,0,0,0,0,0,0,0,0,0,0
2000000,226,en,15.557144,1999-09-02,11540607,118,A true story about finding the courage to be yourself.,Boys Don't Cry,0,0,1,0,0,0,0,0,0,0,0,0,0
50000000,231,en,16.871194,2005-11-23,94e6,128,Everything is connected.,Syriana,0,0,1,1,0,0,0,1,0,0,0,0,0
6000000,238,en,143.659698,1972-03-14,245066411,175,An offer you can't refuse.,The Godfather,0,0,1,0,0,0,0,0,0,1,0,0,0
54000000,242,en,59.194915,1990-12-24,136766062,162,All the power on earth can't change destiny.,The Godfather: Part III,0,0,1,1,0,0,0,0,0,1,0,0,0
27000000,245,en,28.227984,2002-04-26,129e6,101,One ordinary couple. One little white lie.,About a Boy,0,1,1,0,0,0,1,0,0,0,0,0,0
7000000,253,en,30.465138,1973-07-05,161777836,121,Roger Moore is James Bond.,Live and Let Die,1,0,0,1,0,0,0,0,0,0,0,0,0
150000000,272,en,115.040024,2005-06-10,374218673,140,Evil fears the knight.,Batman Begins,1,0,1,0,0,0,0,1,0,0,0,0,0
22000000,277,en,81.829237,2003-09-19,95708457,121,Underworld,Underworld,1,0,0,1,1,0,0,0,0,0,0,0,0
300000000,285,en,139.082615,2007-05-19,961e6,169,"At the end of the world, the adventure begins.",Pirates of the Caribbean: At World's End,1,0,0,0,1,1,0,0,0,0,0,0,0
90000000,297,en,36.069611,1998-11-12,142940100,178,Sooner or later everyone does.,Meet Joe Black,0,0,1,0,1,0,1,0,0,0,0,0,0
85000000,298,en,42.069993,2007-06-07,311312624,122,What are the odds of getting even? 13 to one.,Ocean's Thirteen,0,0,0,1,0,0,0,1,0,0,0,0,0
7800000,302,en,11.000654,2003-05-18,22441323,102,"On the surface, all is calm",Swimming Pool,0,0,0,1,0,0,0,0,0,0,0,0,0
80000000,310,en,109.684788,2003-05-23,484572835,101,In Bruce we trust,Bruce Almighty,0,1,0,0,1,0,1,0,0,0,0,0,0
4361898,321,en,2.080741,2003-06-06,3031801,92,Things change. Family doesn't.,Mambo Italiano,0,1,0,0,0,0,0,0,0,0,0,0,0
12000000,327,ja,5.327714,2000-09-09,1525e4,114,Are You Japanese?,Brother,0,0,1,1,0,0,0,0,0,0,0,0,0
63000000,329,en,40.413191,1993-06-11,9201e5,127,An adventure 65 million years in the making.,Jurassic Park,0,0,0,0,0,0,1,0,0,0,0,0,0
37000000,334,en,30.993736,1999-12-08,48451803,188,"Things fall down. People look up. And when it rains, it pours.",Magnolia,0,0,1,0,0,0,0,0,0,0,0,0,1
4800000,338,de,11.086001,2003-02-09,79384880,121,The German Democratic Republic lives on -- in 79 square meters!,"Good bye, Lenin!",0,1,1,0,0,0,0,0,0,0,0,0,0
65000000,345,en,27.870312,1999-07-14,162091208,159,Cruise. Kidman. Kubrick.,Eyes Wide Shut,0,0,1,0,0,0,0,1,0,0,0,0,0
11000000,348,en,94.184658,1979-05-25,104931801,117,In space no one can hear you scream.,Alien,1,0,0,1,0,0,0,0,0,0,0,1,0
35000000,350,en,83.893257,2006-06-30,326551094,109,Meet Andy Sachs. A million girls would kill to have her job. She's not one of them.,The Devil Wears Prada,0,1,1,0,0,0,0,0,0,0,0,1,0
14000000,387,de,26.967494,1981-09-16,85e6,149,When the hunters become the hunted,Das Boot,1,0,1,0,0,0,0,0,0,0,0,0,0
45000000,388,en,45.220386,2006-03-23,184376254,129,It looked like the perfect bank robbery. But you can't judge a crime by its cover.,Inside Man,0,0,1,1,0,0,1,0,0,0,0,0,0
70000000,395,en,42.957216,2004-08-12,171183863,101,Whoever wins... We lose,AVP: Alien vs. Predator,1,0,0,0,0,0,0,0,0,0,0,1,0
7000000,398,en,17.434862,2005-09-30,49084830,114,In Cold Blood,Capote,0,0,1,0,0,0,0,0,0,0,0,0,0
1488423,408,en,80.171283,1937-12-20,184925486,83,"The Happiest, Dopiest, Grumpiest, Sneeziest movie of the year.",Snow White and the Seven Dwarfs,0,0,0,0,1,0,0,0,0,0,0,0,0
35000000,423,en,50.587541,2002-09-24,120072577,150,Music was his passion. Survival was his masterpiece.,The Pianist,0,0,1,0,0,0,0,0,0,0,0,0,0
22000000,424,en,104.469351,1993-11-29,321365567,195,"Whoever saves one life, saves the world entire.",Schindler's List,0,0,1,0,0,0,1,0,0,0,0,0,0
59000000,425,en,99.561972,2002-03-10,383257136,81,They came. They thawed. They conquered.,Ice Age,0,1,0,0,0,0,0,0,0,0,0,1,0
1200000,429,it,88.377076,1966-12-23,6e6,161,For three men the Civil War wasn't hell. It was practice.,"The Good, the Bad and the Ugly",0,0,0,0,0,0,0,0,0,0,0,0,0
125000000,435,en,41.380094,2004-05-26,544272402,124,Where will you be?,The Day After Tomorrow,1,0,0,1,0,0,0,0,0,0,0,1,0
0,436,es,3.027892,2004-01-18,0,101,"Based on 10,000 true stories.",Maria Full of Grace,0,0,1,1,0,0,0,0,0,0,0,0,0
40000000,440,en,39.381913,2007-12-25,41797066,94,The Last Place On Earth We Want To Be Is In The Middle,Aliens vs Predator: Requiem,1,0,0,1,1,0,0,0,0,0,0,1,0
3600000,451,en,22.030517,1995-10-27,498e5,112,I Love You... The Way You Are.,Leaving Las Vegas,0,0,1,0,0,0,0,0,0,0,0,0,0
60000000,453,en,59.248437,2001-12-11,313542341,135,I need to believe that something extra ordinary is possible...,A Beautiful Mind,0,0,1,0,0,0,1,0,0,0,0,0,0
3500159,455,en,22.054546,2002-04-11,76578641,112,"Sometimes, to follow your dreams... you've got to bend the rules!",Bend It Like Beckham,0,1,1,0,0,0,0,0,0,0,0,0,0
52000000,462,en,30.347332,2000-03-17,256271286,131,She brought a small town to its feet and a huge corporation to its knees.,Erin Brockovich,0,0,1,0,0,0,0,0,0,0,0,0,0
20000000,470,en,32.243357,2003-09-06,60427839,124,How much does life weigh?,21 Grams,0,0,1,1,0,0,0,0,0,0,0,0,0
60000,473,en,27.788067,1998-07-10,3221152,84,"There will be no order, only chaos",Pi,0,0,1,1,0,0,0,0,0,0,0,0,0
10000000,489,en,43.734886,1997-12-05,225933435,126,"Some people can never believe in themselves, until someone believes in them.",Good Will Hunting,0,0,1,0,0,0,0,0,0,0,0,0,0
18000000,496,en,29.487784,2006-11-01,261572744,82,"Come to Kazakhstan, it's nice!",Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,0,1,0,0,0,0,0,0,0,0,0,1,0
60000000,497,en,103.698022,1999-12-10,2846e5,189,Miracles do happen.,The Green Mile,0,0,1,0,1,0,0,1,0,0,0,0,0
160000000,503,en,21.133748,2006-05-12,181674817,99,Mayday,Poseidon,1,0,1,1,0,0,0,1,0,0,0,0,0
40000000,508,en,37.073127,2003-09-07,244931766,135,The ultimate romantic comedy.,Love Actually,0,1,1,0,0,0,1,0,0,0,0,0,0
42000000,509,en,28.969151,1999-05-13,363889678,124,Can the most famous film star in the world fall for the man on the street?,Notting Hill,0,1,1,0,0,0,0,0,0,0,0,0,0
4000000,512,en,17.229537,2006-07-27,31584901,96,The perfect man. The perfect story. The perfect murder.,Scoop,0,1,0,0,0,0,0,0,0,0,0,0,0
30000000,533,en,30.380747,2005-09-04,192452832,85,Something bunny is going on...,The Curse of the Were-Rabbit,0,1,0,0,0,0,0,0,0,0,0,0,0
200000000,534,en,71.862892,2009-05-20,371353001,115,The End Begins.,Terminator Salvation,1,0,0,1,0,0,0,1,1,0,0,0,0
1800000,542,es,2.179428,2002-10-01,0,118,Lead us not into temptation,The Crime of Padre Amaro,0,0,1,0,0,0,0,0,0,0,0,0,0
23000000,544,en,57.110486,1998-07-15,369884651,119,Love Is In The Hair.,There's Something About Mary,0,1,0,0,0,0,0,0,0,0,0,1,0
1000000,546,en,9.773398,2005-12-23,13350369,103,Life is a Journey. Bring an Open Mind.,Transamerica,0,0,1,0,0,0,0,0,0,0,0,0,0
63000000,550,en,146.757391,1999-10-15,100853753,139,Mischief. Mayhem. Soap.,Fight Club,0,0,1,0,0,0,0,0,0,0,0,0,0
139000000,557,en,82.502566,2002-05-01,821708551,121,With great power comes great responsibility.,Spider-Man,1,0,0,0,1,0,0,0,1,0,0,0,0
200000000,558,en,35.149586,2004-06-25,783766341,127,There's a hero in all of us.,Spider-Man 2,1,0,0,0,1,0,0,0,1,0,0,0,0
258000000,559,en,115.699814,2007-05-01,890871626,139,The battle within.,Spider-Man 3,1,0,0,0,1,0,0,0,1,0,0,0,0
7000000,578,en,50.152327,1975-06-18,470654e3,124,Don't go in the water.,Jaws,0,0,0,1,0,0,1,0,0,0,0,0,0
115000000,585,en,106.815545,2001-11-01,562816256,92,We Scare Because We Care.,"Monsters, Inc.",0,1,0,0,0,1,0,0,0,0,0,0,0
50000000,588,en,32.927994,2006-04-21,97607453,125,We've been expecting you.,Silent Hill,0,0,0,0,0,0,0,0,0,0,0,0,0
125000000,591,en,45.313197,2006-05-17,767820459,149,Seek the truth.,The Da Vinci Code,0,0,0,1,0,0,0,0,1,0,0,0,0
60000000,594,en,57.753914,2004-06-17,219417255,128,Life is waiting.,The Terminal,0,1,1,0,0,0,0,0,0,0,0,0,0
200000000,597,en,100.025899,1997-11-18,1845034188,194,Nothing on Earth could come between them.,Titanic,0,0,1,1,0,0,0,0,0,1,0,1,0
3300000,598,pt,44.356711,2002-02-05,30641770,130,"If you run you're dead... if you stay, you're dead again. Period.",City of God,0,0,1,0,0,0,0,0,0,0,0,0,0
10500000,601,en,56.105798,1982-04-03,792910554,115,He is afraid. He is alone. He is three million light years from home.,E.T. the Extra-Terrestrial,0,0,0,0,1,0,1,0,0,0,0,0,0
63000000,603,en,104.309993,1999-03-30,463517383,136,Welcome to the Real World.,The Matrix,1,0,0,0,0,0,0,1,0,0,0,0,0
90000000,607,en,104.121555,1997-07-02,589390539,98,Protecting the Earth from the scum of the universe.,Men in Black,1,1,0,0,0,0,0,0,0,0,0,0,0
140000000,608,en,91.332849,2002-07-03,441818803,88,Same Planet. New Scum.,Men in Black II,1,1,0,0,0,0,0,0,1,0,0,0,0
18339750,613,de,32.445895,2004-09-08,92180910,156,"April 1945, a nation awaits its...Downfall",Downfall,0,0,1,0,0,0,0,0,0,0,0,0,0
30000000,615,en,38.171417,2004-02-25,611899420,127,"By his wounds, we were healed.",The Passion of the Christ,0,0,1,0,0,0,0,0,0,0,0,1,0
4000000,627,en,63.513324,1996-02-23,16491080,93,Choose life.,Trainspotting,0,0,1,0,0,0,0,0,0,0,0,0,0
6000000,629,en,64.025031,1995-07-19,23341568,106,Five Criminals. One Line Up. No Coincidence.,The Usual Suspects,0,0,1,1,0,0,0,0,0,0,0,0,0
2777000,630,en,67.417542,1939-08-15,33754967,102,"We're off to see the Wizard, the wonderful Wizard of Oz!",The Wizard of Oz,0,0,0,0,1,0,0,0,0,0,0,0,0
52000000,640,en,73.944049,2002-12-25,352114312,141,The true story of a real fake.,Catch Me If You Can,0,0,1,0,0,0,0,0,0,0,0,0,0
950000,646,en,48.901542,1962-10-04,596e5,110,NOW meet the most extraordinary gentleman spy in all fiction!,Dr. No,1,0,0,1,0,0,0,0,0,0,0,0,0
2000000,657,en,41.298723,1963-10-11,78898765,115,The world's masters of murder pull out all the stops to destroy Agent 007!,From Russia with Love,1,0,0,1,0,0,0,0,0,0,0,0,0
2500000,658,en,47.812466,1964-09-17,124881062,110,Everything he touches turns into excitement!,Goldfinger,1,0,0,1,0,0,0,0,0,0,0,0,0
5500000,660,en,31.036,1965-12-16,141195658,130,Look up!  Look down!  Look out!,Thunderball,1,0,0,1,0,0,0,0,0,0,0,0,0
10000000,663,en,29.244768,2007-10-25,139352633,93,You think it is over...but the games have just begun,Saw IV,0,0,0,1,0,0,0,0,0,0,0,0,0
9500000,667,en,28.675891,1967-06-12,111584787,117,You Only Live Twice...and Twice is the only way to live!,You Only Live Twice,1,0,0,1,0,0,0,0,0,0,0,0,0
6500000,668,en,25.289665,1969-12-12,81974493,142,Far up! Far out! Far more! James Bond 007 is back!,On Her Majesty's Secret Service,1,0,0,1,0,0,0,0,0,0,0,0,0
125000000,671,en,109.984351,2001-11-16,976475550,152,Let the Magic Begin.,Harry Potter and the Philosopher's Stone,0,0,0,0,1,0,0,1,0,0,0,0,0
150000000,674,en,101.250416,2005-11-05,895921036,157,Dark And Difficult Times Lie Ahead.,Harry Potter and the Goblet of Fire,0,0,0,0,1,0,0,1,0,0,0,0,0
150000000,675,en,78.144395,2007-06-28,938212738,138,Evil Must Be Confronted.,Harry Potter and the Order of the Phoenix,0,0,0,0,1,0,0,1,0,0,0,0,0
7200000,681,en,34.634181,1971-12-13,116019547,120,The man who made 007 a household number,Diamonds Are Forever,1,0,0,1,0,0,0,0,0,0,0,0,0
7000000,682,en,30.214716,1974-12-01,97572e3,125,The man with the golden gun is ready to assassinate James Bond.,The Man with the Golden Gun,1,0,0,1,0,0,0,0,0,0,0,0,0
90000000,686,en,55.249434,1997-07-11,171120329,150,"If it's just us, it seems like an awful waste of space.",Contact,0,0,1,0,0,0,0,1,0,0,0,0,0
80000000,693,en,32.829538,2004-12-22,516642939,115,Misery loves family.,Meet the Fockers,0,1,0,0,0,0,1,0,0,0,0,0,0
34000000,698,en,29.887404,1979-06-26,210308099,126,Outer space now belongs to 007.,Moonraker,1,0,0,1,0,0,0,0,0,0,0,0,0
28000000,699,en,26.090746,1981-06-23,195312802,127,"No one comes close to James Bond, 007.",For Your Eyes Only,1,0,0,1,0,0,0,0,0,0,0,0,0
27500000,700,en,25.633663,1983-06-05,1875e5,131,James Bond’s all time high.,Octopussy,1,0,0,1,0,0,0,0,0,0,0,0,0
560000,704,en,10.730056,1964-07-06,12299668,88,"The Beatles, starring in their first full-length, hilarious, action-packed film!",A Hard Day's Night,0,1,0,0,0,0,0,0,0,0,0,0,0
30000000,707,en,27.230493,1985-05-24,152427960,131,Has James Bond finally met his match?,A View to a Kill,1,0,0,1,0,0,0,0,0,0,0,0,0
40000000,708,en,23.331459,1987-06-29,191185897,130,Licensed to thrill.,The Living Daylights,1,0,0,1,0,0,0,0,0,0,0,0,0
32000000,709,en,28.22119,1989-07-07,156167015,133,His bad side is a dangerous place to be.,Licence to Kill,1,0,0,1,0,0,0,0,0,0,0,0,0
58000000,710,en,59.824565,1995-11-16,352194034,130,No limits. No fears. No substitutes.,GoldenEye,1,0,0,1,0,0,0,0,0,0,0,0,0
6000000,712,en,29.834065,1994-03-09,254700832,117,Five good reasons to stay single.,Four Weddings and a Funeral,0,1,1,0,0,0,0,0,0,0,0,0,0
110000000,714,en,42.887121,1997-12-11,333011068,119,Yesterday is a memory. Today is history. Tomorrow is in the hands of one man.,Tomorrow Never Dies,1,0,0,1,0,0,0,0,0,0,0,0,0
54000000,752,en,84.630969,2006-03-15,132511035,132,People should not be afraid of their governments. Governments should be afraid of their people.,V for Vendetta,1,0,0,1,1,0,0,1,0,0,0,0,0
19000000,755,en,64.181668,1996-01-19,25836616,108,One night is all that stands between them and freedom. But it's going to be a hell of a night.,From Dusk Till Dawn,1,0,0,1,0,0,0,0,0,0,0,0,0
2280000,756,en,32.875469,1940-11-13,8332e4,124,The most sensational sound you'll ever see!,Fantasia,0,0,0,0,0,1,0,0,0,0,0,0,0
400000,762,en,64.782984,1975-03-13,5028948,91,And now! At Last! Another film completely different from some of the other films which aren't quite the same as this one is.,Monty Python and the Holy Grail,0,1,0,0,1,0,0,0,0,0,0,0,0
250000000,767,en,98.885637,2009-07-07,933959197,153,Dark Secrets Revealed,Harry Potter and the Half-Blood Prince,0,0,0,0,1,0,0,1,0,0,0,0,0
25000000,769,en,63.654244,1990-09-12,46836394,145,Three Decades of Life in the Mafia.,GoodFellas,0,0,1,0,0,0,0,0,0,0,0,0,0
18000000,771,en,2.186927,1990-11-09,476684675,103,A Family Comedy Without the Family.,Home Alone,0,1,0,0,0,0,0,0,0,0,0,1,0
8000000,773,en,14.793177,2006-07-26,100523181,102,A family on the verge of a breakdown,Little Miss Sunshine,0,1,1,0,0,0,0,0,0,0,0,0,0
1000000,790,en,14.518598,1980-02-08,21378361,89,Lock your doors. Bolt your windows. There's something in THE FOG!,The Fog,0,0,0,0,0,0,0,0,0,0,0,0,0
33000000,807,en,79.579532,1995-09-22,327311859,127,Seven deadly sins. Seven ways to die.,Se7en,0,0,0,1,0,0,0,0,0,0,0,0,1
60000000,808,en,67.298732,2001-05-16,484409218,90,The greatest fairy tale never told.,Shrek,0,1,0,0,1,0,0,0,0,0,0,0,0
150000000,809,en,47.320801,2004-05-19,919838758,93,Once upon another time...,Shrek 2,0,1,0,0,1,0,0,0,0,0,0,0,0
160000000,810,en,42.986467,2007-05-17,798958165,93,Who's ready for Thirds?,Shrek the Third,0,1,0,0,1,0,0,0,0,0,0,0,0
28000000,812,en,92.982009,1992-11-25,504050219,90,Wish granted!,Aladdin,0,1,0,0,1,1,0,0,0,0,0,0,0
63000000,818,en,40.137264,2002-07-26,296655431,94,He's still evil... He's still deadly... and he's still surrounded by frickin' idiots!,Austin Powers in Goldmember,0,1,0,0,0,0,0,0,0,0,0,0,1
50000000,834,en,49.020045,2006-01-12,111340801,106,"My God. Brother, what have you done?",Underworld: Evolution,1,0,0,1,1,0,0,0,0,0,0,0,0
12000000,844,zh,12.664787,2004-05-20,19271312,129,Are you still in the mood for love?,2046,0,0,1,0,1,0,0,0,0,0,0,0,0
12000000,860,en,23.161754,1983-06-03,79567667,114,"Is it a game, or is it real?",WarGames,0,0,0,1,0,0,0,0,0,0,0,0,0
90000000,863,en,73.575118,1999-10-30,497366869,92,The toys are back!,Toy Story 2,0,1,0,0,0,0,0,0,0,0,0,0,0
3000000,868,af,2.504169,2005-08-18,9879971,94,In this world... Redemption comes just once.,Tsotsi,0,0,1,0,0,0,0,0,0,0,0,0,0
83000000,889,en,6.248309,2000-04-28,59468275,90,Get ready to rock!,The Flintstones in Viva Rock Vegas,0,1,0,0,0,0,1,0,0,0,0,0,0
120000000,920,en,82.643036,2006-06-08,461983149,117,Ahhh... it's got that new movie smell.,Cars,0,1,0,0,0,1,0,0,0,0,0,0,0
88000000,921,en,24.100863,2005-06-02,108539911,144,One man's extraordinary fight to save the family he loved.,Cinderella Man,0,0,1,0,0,0,1,0,0,0,0,0,0
28000000,924,en,44.529429,2004-03-19,102356381,101,"When the undead rise, civilization will fall.",Dawn of the Dead,1,0,0,0,1,0,0,0,0,0,0,0,0
300000,948,en,30.301307,1978-10-25,7e7,91,The Night He Came Home,Halloween,0,0,0,1,0,0,0,0,0,0,0,0,0
80000000,950,en,85.115058,2006-03-23,660940780,91,The Ice age is melting away.,Ice Age: The Meltdown,0,1,0,0,0,0,0,0,0,0,0,0,0
80000000,954,en,75.290998,1996-05-22,457696359,110,Expect the Impossible.,Mission: Impossible,1,0,0,1,0,0,0,0,0,1,0,0,0
125000000,955,en,54.931334,2000-05-24,546388105,123,Expect the impossible again.,Mission: Impossible II,1,0,0,1,0,0,0,0,0,1,0,0,0
150000000,956,en,63.079003,2006-05-03,397850012,126,The Mission Begins 05:05:06.,Mission: Impossible III,1,0,0,1,0,0,0,0,0,1,0,0,0
22700000,957,en,39.890798,1987-06-24,38119483,96,May the schwartz be with you,Spaceballs,0,1,0,0,0,0,0,0,0,0,0,0,0
5000000,1024,en,8.753409,1994-09-02,3049135,99,From a secret world no one could see... came a crime no one could believe.,Heavenly Creatures,0,0,1,0,1,0,0,0,0,0,0,0,0
15000000,1091,en,52.731379,1982-06-25,19629760,109,Man is The Warmest Place to Hide.,The Thing,0,0,0,0,0,0,1,0,0,0,0,0,0
6000000,1103,en,24.351305,1981-05-22,50244700,99,1997. New York City is now a maximum security prison. Breaking out is impossible. Breaking in is insane.,Escape from New York,1,0,0,0,0,0,0,0,0,0,0,0,0
40000000,1124,en,74.440708,2006-10-19,109676311,130,Are You Watching Closely?,The Prestige,0,0,1,1,0,0,0,1,0,0,0,0,0
70000000,1125,en,14.486311,2006-12-25,154937680,134,One Dream Will Change Everything,Dreamgirls,0,0,1,0,0,0,0,0,0,1,0,0,0
15000000,1165,en,19.113278,2006-09-15,123384128,103,Our Leaders. Ourselves.,The Queen,0,0,1,0,0,0,0,0,0,0,0,0,0
40000000,1213,en,31.385257,1999-12-25,128798265,139,How far would you go to become someone else?,The Talented Mr. Ripley,0,0,1,1,0,0,0,0,0,1,0,0,0
